2015-06-19	35	14	33	2	24	0.5	70
2015-06-20	103	23	39	2	37	0.6	163
2015-06-21	137	41	73	5	39	0.6	201
2015-06-22	163	90	117	16	38	1.1	228
2015-06-23	231	181	178	15	39	1.7	238
2015-06-24	159	121	123	9	43	1.1	190
2015-06-25	164	125	111	6	51	1	128
2015-06-26	139	106	23	2	24	0.9	200
2015-06-27	120	89	51	4	32	0.8	182
2015-06-28	197	148	57	8	34	1.2	219
2015-06-29	154	118	39	5	42	1.1	178
2015-06-30	52	15	20	2	27	0.4	102
2015-07-01	41	18	38	3	34	0.4	82
2015-07-02	46	8	20	4	28	0.3	92
2015-07-03	116	24	60	11	34	0.9	178
2015-07-04	92	33	59	6	45	0.7	150
2015-07-05	160	62	71	9	36	1	225
2015-07-06	156	69	76	10	33	1.1	221
2015-07-07	160	67	86	7	32	0.9	225
2015-07-08	175	125	132	8	35	1.1	240
2015-07-09	172	72	92	11	37	0.8	237
2015-07-10	145	50	82	9	32	0.7	210
2015-07-11	181	103	126	10	35	1.1	246
2015-07-12	200	108	158	5	46	0.9	267
2015-07-13	176	49	84	3	43	0.6	241
2015-07-14	147	35	65	4	30	0.6	212
2015-07-15	85	34	62	3	47	0.6	142
2015-07-16	54	37	47	2	29	0.7	105
2015-07-17	50	35	43	2	32	0.8	91
2015-07-18	78	47	30	2	26	0.8	134
2015-07-19	89	66	33	2	32	0.9	124
2015-07-20	118	89	144	2	33	0.9	142
2015-07-21	176	133	0	2	33	1.1	151
2015-07-22	110	62	55	2	35	0.7	171
2015-07-23	70	41	54	2	48	0.8	123
2015-07-24	138	50	77	2	46	0.9	201
2015-07-25	158	90	108	3	38	1	223
2015-07-26	151	104	123	4	33	1	216
2015-07-27	130	75	133	3	33	0.9	192
2015-07-28	109	52	76	2	30	0.8	169
2015-07-29	138	86	55	2	35	0.9	201
2015-07-30	75	44	52	2	28	0.9	129
2015-07-31	85	26	41	2	26	0.7	142
2015-08-01	90	67	72	3	47	1.3	100
2015-08-02	102	74	88	2	27	1.2	162
2015-08-03	82	60	33	4	33	1.1	101
2015-08-04	110	21	54	4	32	0.5	171
2015-08-05	127	64	102	3	40	1	189
2015-08-06	119	58	95	2	31	0.8	180
2015-08-07	119	90	0	4	33	1.1	167
2015-08-08	110	40	72	3	34	0.7	171
2015-08-09	152	53	85	3	37	0.8	217
2015-08-10	112	42	80	2	38	0.7	173
2015-08-11	175	91	128	6	36	1.4	240
2015-08-12	161	81	129	4	36	1	226
2015-08-13	202	120	160	7	41	1.3	275
2015-08-14	119	58	95	4	35	0.8	180
2015-08-15	80	22	54	3	36	0.6	135
2015-08-16	201	38	89	6	40	0.7	270
2015-08-17	145	80	161	8	40	1	209
2015-08-18	90	48	82	3	34	0.8	147
2015-08-19	97	51	65	2	38	0.8	156
2015-08-20	100	33	51	2	26	0.6	160
2015-08-21	94	14	37	2	25	0.4	152
2015-08-22	56	17	38	4	20	0.6	107
2015-08-23	53	21	33	4	23	0.8	103
2015-08-24	55	13	28	2	22	0.5	106
2015-08-25	50	14	27	2	23	0.5	99
2015-08-26	61	12	27	2	23	0.4	113
2015-08-27	60	12	26	2	25	0.4	111
2015-08-28	70	16	38	3	24	0.5	124
2015-08-29	118	28	48	2	21	0.6	179
2015-08-30	74	28	32	2	25	0.9	128
2015-08-31	37	25	29	2	25	0.7	73
2015-09-01	34	11	20	2	20	0.5	67
2015-09-02	44	10	19	2	20	0.4	87
2015-09-03	74	15	30	2	19	0.5	128
2015-09-04	64	46	0	3	26	1.5	101
2015-09-05	44	18	20	2	23	0.7	88
2015-09-06	63	17	34	2	30	0.5	115
2015-09-07	84	25	44	3	38	0.7	140
2015-09-08	104	52	82	6	53	0.9	164
2015-09-09	50	32	50	3	40	0.7	94
2015-09-10	37	8	14	2	29	0.4	41
2015-09-11	35	9	16	2	26	0.4	69
2015-09-12	34	9	24	2	27	0.4	68
2015-09-13	57	20	51	3	45	0.6	105
2015-09-14	89	66	105	10	58	0.9	145
2015-09-15	140	105	134	13	62	1.2	204
2015-09-16	169	128	152	8	62	1.2	180
2015-09-17	201	151	166	10	69	1.3	181
2015-09-18	102	76	77	3	49	0.9	110
2015-09-19	69	23	51	3	55	0.6	95
2015-09-20	114	86	112	9	51	1	146
2015-09-21	133	101	134	17	67	1.3	176
2015-09-22	179	135	0	10	60	1.5	108
2015-09-23	57	32	60	2	45	0.7	98
2015-09-24	124	94	102	4	53	1.2	121
2015-09-25	49	22	44	3	39	0.6	82
2015-09-26	74	34	72	7	48	0.7	128
2015-09-27	73	48	85	3	58	0.7	113
2015-09-28	68	49	62	4	46	1.3	59
2015-09-29	62	44	0	3	45	1.1	20
2015-09-30	48	30	0	3	38	0.7	48
2015-10-01	33	14	29	2	25	0.3	65
2015-10-02	59	30	68	3	47	0.6	88
2015-10-03	62	28	69	4	49	0.7	85
2015-10-04	149	114	155	10	77	1.3	125
2015-10-05	272	222	244	9	80	1.7	180
2015-10-06	343	293	327	7	84	2	200
2015-10-07	310	260	83	8	76	1.8	128
2015-10-08	35	11	28	2	23	0.3	70
2015-10-09	39	16	39	3	29	0.4	64
2015-10-10	27	8	23	2	17	0.3	54
2015-10-11	37	10	25	2	21	0.3	73
2015-10-12	60	18	47	3	48	0.5	70
2015-10-13	84	35	73	6	67	0.8	68
2015-10-14	135	103	147	16	96	2	66
2015-10-15	143	109	147	9	91	1.4	123
2015-10-16	253	203	236	13	111	2.1	159
2015-10-17	344	294	0	13	119	2.5	97
2015-10-18	64	46	68	7	41	0.8	50
2015-10-19	78	57	103	6	61	0.9	46
2015-10-20	99	74	113	9	65	1.4	15
2015-10-21	70	51	77	2	41	0.9	28
2015-10-22	54	29	49	2	43	0.7	25
2015-10-23	74	54	77	3	53	0.9	45
2015-10-24	75	55	76	6	53	1	51
2015-10-25	74	37	84	10	59	0.9	23
2015-10-26	63	28	75	2	29	0.5	51
2015-10-27	48	15	48	3	37	0.5	52
2015-10-28	30	8	20	3	24	0.3	57
2015-10-29	30	7	22	3	20	0.3	59
2015-10-30	58	25	52	4	46	0.7	44
2015-10-31	73	43	70	5	58	0.8	42
2015-11-01	98	72	106	7	78	1	39
2015-11-02	102	76	116	8	78	1.4	44
2015-11-03	199	149	181	16	90	1.9	63
2015-11-04	260	210	0	15	108	2	29
2015-11-05	144	110	0	6	53	1	26
2015-11-06	37	20	9	2	29	0.5	38
2015-11-07	37	19	0	2	29	0.5	41
2015-11-08	82	60	89	3	46	0.9	37
2015-11-09	163	124	0	4	56	1.6	7
2015-11-10	175	132	0	4	55	1.6	5
2015-11-11	137	104	0	4	55	1.9	11
2015-11-12	205	155	136	6	60	2.5	3
2015-11-13	258	208	188	15	70	3.1	4
2015-11-14	324	274	298	17	83	3.6	11
2015-11-15	246	196	0	13	70	3.2	31
2015-11-16	79	58	85	10	52	1.5	18
2015-11-17	82	60	86	7	45	1.5	21
2015-11-18	92	68	90	7	45	1.1	9
2015-11-19	102	76	0	4	45	1.7	2
2015-11-20	88	65	0	9	43	2.3	3
2015-11-21	60	43	0	7	41	2.1	4
2015-11-22	69	50	0	7	39	1	33
2015-11-23	39	27	37	10	28	0.7	51
2015-11-24	65	45	0	8	52	1.1	41
